Address,Property Name,Year Built,Number of Units,
"100 JACKMAN ST, SAN MARCOS, TX 78666",HERITAGE SQUARE APTS,1984,13,
"100 WARDEN, SAN MARCOS, TX 78666",STADIUM VIEW APTS,1980,70,
"1000 LBJ DR, SAN MARCOS, TX 78666",VINTAGE PADS,1963,113,
"1001 LEAH AVE, SAN MARCOS, TX 78666",PARK HILL APTS,2001,168,
"101 CONCHO ST, SAN MARCOS, TX 78666",ASPIRE,2019,225,
"101-109 CRADDOCK AVE, SAN MARCOS, TX 78666",BISHOP'S SQUARE,2002,112,
"1011 LBJ, SAN MARCOS, TX 78666",PEACHTREE LOFTS,1984,20,
"1011 WONDER WORLD DR, SAN MARCOS, TX 78666",PALAZZO APTS II,1997,,
"1021 CHESTNUT ST, SAN MARCOS, TX 78666",CHESTNUT PLACE,1994,,
"103 SMITH LN, SAN MARCOS, TX 78666",CHAPARRAL APTS,,,
"104 MOSSCLIFF CIR, SAN MARCOS, TX 78666",CORNER STONE APTS,,,
"109 WEST AVE, SAN MARCOS, TX 78666",UNIVERSITY SPRINGS APTS,1998,,
"109 WINDMILL, SAN MARCOS, TX 78666",WINDMILL PLAZA APTS,1982,,
"1101 LEAH AVE, SAN MARCOS, TX 78666",CEDARS OF SAN MARCOS,1983,,
"1101 RIVER RIDGE PKWY, SAN MARCOS, TX 78666",THE HEIGHTS II,2005,240,
"1109 SAN MARCOS PKWY, SAN MARCOS, TX 78666",FLORENCIA VILLAS,1980,64,
"1111 AVALON PKWY, SAN MARCOS, TX 78666",THE AVENUE APTS.,2013,240,
"1111 LBJ DR, SAN MARCOS, TX 78666",AUDREY OAKS APTS,2003,50,
"112 WEST AVE, SAN MARCOS, TX 78666",WESTFIELD APTS,1985,90,
"1150 RIVER RIDGE PKWY, SAN MARCOS, TX 78666",THE GROVE,2009,192,
"117 SEGUIN ST, SAN MARCOS, TX 78666",VILLAGE GREEN APTS,,125,
"1201 THORPE LN, SAN MARCOS, TX 78666",ALLEN WOOD HOMES,,125,
"1204 LBJ DR, SAN MARCOS, TX 78666",STONEGATE APTS,1965,21,
"121 CRADDOCK AVE, SAN MARCOS, TX 78666",METROPOLITAN APTS,2000,,
"1223 HOPKINS ST, SAN MARCOS, TX 78666",MALIBU APTS,1981,32,
"1224 LBJ DR, SAN MARCOS, TX 78666",THE OAKS APTS,1981,22,
"1229 LBJ DR, SAN MARCOS, TX 78666",LBJ APTS,1975,,
"1230 LBJ DR, SAN MARCOS, TX 78666",HILL COUNTRY APTS,1985,120,
"1249 LBJ DR, SAN MARCOS, TX 78666",MONARCH APARTMENTS,1974,24,
"1250 SADLER DR, SAN MARCOS, TX 78666",CABANA BEACH,2006,276,
"1255 LBJ DR, SAN MARCOS, TX 78666",ALEXIS SQUARE APTS,,,
"126 SCOTT ST, SAN MARCOS, TX 78666",SCOTT STREET APTS,,,
"1271 SADLER DR, SAN MARCOS, TX 78666",SADLER HOUSE APARTMENTS,,240,
"130 JACKSON LN, SAN MARCOS, TX 78666",THE COURTYARD,,,
"1348 THORPE LN, SAN MARCOS, TX 78666",SUMMIT APTS,1985,112,
"1350 LBJ DR, SAN MARCOS, TX 78666",HILLSIDE RANCH APTS,1996,,
"1350 SADLER DR, SAN MARCOS, TX 78666",SPRINGMARC APTS,2008,240,
"1350 WONDER WORLD DR, SAN MARCOS, TX 78666",ASBURY PLACE APTS,2000,,
"1351 THORPE LN, SAN MARCOS, TX 78666",THE HAVEN AT THORPE LANE,,183,
"1354 THORPE LN, SAN MARCOS, TX 78666",UPTOWN SQUARE APTS,2015,316,
"1360 THORPE LN, SAN MARCOS, TX 78666",PALM SQUARE APTS,1980,,
"140 S FREDERICKSBURG ST, SAN MARCOS, TX 78666",FREDERICKSBURG APTS,2021,14,
"1400 CLAREWOOD DR, SAN MARCOS, TX 78666",CLAREWOOD APTS,1986,,
"1409 BISHOP ST, SAN MARCOS, TX 78666",BISHOP CORNER APTS,2009,11,
"1410 LBJ DR, SAN MARCOS, TX 78666",THE COTTAGES AT HILLSIDE RANCH,2013,489,
"1410 MARLETON ST, SAN MARCOS, TX 78666",Unnamed Complex,,7,
"1415 CRADDOCK AVE, SAN MARCOS, TX 78666",COTTAGES OF SAN MARCOS,2013,51,
"142 WINDMILL DR, SAN MARCOS, TX 78666",LARKSPUR TOWNHOMES,1981,80,
"1441 LEAH AVE, SAN MARCOS, TX 78666",UNIVERSITY CLUB APTS,2002,404,
"1451 SADLER DR, SAN MARCOS, TX 78666",FITZROY APTS,,175,
"1476 MCCARTY LN, SAN MARCOS, TX 78666",MCCARTY COMMONS,2020,249,
"1506 IH 35, SAN MARCOS, TX 78666",VILLAS AT WILLOW SPRINGS,2001,220,
"1518 OLD RANCH ROAD 12, SAN MARCOS, TX 78666",HIGHCREST APTS,1985,130,
"1522 OLD RANCH ROAD 12, SAN MARCOS, TX 78666",HIGHCREST APTS,1985,130,
"1606 IH 35, SAN MARCOS, TX 78666",AUTUMN CHASE APTS,1983,168,
"1610 IH 35, SAN MARCOS, TX 78666",UNIVERSITY HEIGHTS,2003,188,
"1612 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",STATE FLATS,1975,160,
"1615 REDWOOD RD, SAN MARCOS, TX 78666",LA VISTA APTS,1999,200,
"1617 POST RD, SAN MARCOS, TX 78666",POST OAK VILLAS,1997,58,
"1623 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",SPRING WEST APTS,1983,70,
"1629 POST RD, SAN MARCOS, TX 78666",ELEVATION ON POST ROAD,1984,132,
"1631 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",THE COLONY OF SAN MARCOS APTS,1975,88,
"1637 POST RD, SAN MARCOS, TX 78666",MOSSCLIFF APTS,1983,59,
"1640 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",AQUA 16,1968,162,
"1647 POST RD, SAN MARCOS, TX 78666",THE OUTPOST APTS,2004,152,
"1650 RIVER RD, SAN MARCOS, TX 78666",BLANCO RIVER LODGE,2010,186,
"1651 POST RD, SAN MARCOS, TX 78666",THE MILLENIUM ON POST ROAD,2012,51,
"1654 POST RD, SAN MARCOS, TX 78666",GREEN SPRING VILLAGE APTS,,32,
"1655 MILL ST, SAN MARCOS, TX 78666",THE THOMPSON,2013,132,
"1701 MILL ST, SAN MARCOS, TX 78666",COPPER BEECH,2010,,
"1703 IH 35, SAN MARCOS, TX 78666",AVALON APTS,1982,136,
"1706 IH 35, SAN MARCOS, TX 78666",WOODSTONE APTS,1967,14,
"1740 RANCH ROAD 12, SAN MARCOS, TX 78666",The Edge Apts,1999,252,
"1750/1754 RIVER RD, SAN MARCOS, TX 78666",RIVER RIDGE APTS,1997,24,
"1800 POST RD, SAN MARCOS, TX 78666",ENCINO POINTE,2012,252,
"1805 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",RIVERSIDE RANCH,1987,369,
"1805 IH 35, SAN MARCOS, TX 78666",VERANDAH APTS,1982,156,
"1811 MEDICAL PKWY, SAN MARCOS, TX 78666",PARKWAY GRANDE APTS,2013,192,
"1818 OLD RANCH ROAD 12, SAN MARCOS, TX 78666",DAKOTA RANCH APTS,2002,188,
"1850 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",VILLAGIO APTS,2005,180,
"1900 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",RIVER OAKS VILLAS,1996,203,
"191 COTTER AVE, SAN MARCOS, TX 78666",HAWTHORNE AT BLANCO RIVERWALK,2019,252,
"1951 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",COUNTRY OAKS APTS,1996,160,
"1951 HUNTER RD, SAN MARCOS, TX 78666",ELYSIAN AT PURGATORY CREEK APTS,2011,286,
"1975 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",THE LODGE AT SOUTHWEST,2001,256,
"1980 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",ASPEN HEIGHTS,2013,240,
"200 ROBBIE LN, SAN MARCOS, TX 78666",ENGLEBROOK APTS,1983,102,
"200 SPRINGTOWN WAY, SAN MARCOS, TX 78666",THE LYNDON,,,
"201 FIRST ST, SAN MARCOS, TX 78666",VILLAGE GREEN APTS,1986,125,
"201 MITCHELL ST, SAN MARCOS, TX 78666",DUNBAR TOWNHOMES,,,
"201 TELLURIDE DR, SAN MARCOS, TX 78666",THE VILLAGE ON TELLURIDE,2011,,
"205 CRADDOCK AVE, SAN MARCOS, TX 78666",LANGTRY APTS,1974,59,
"205 MITCHELL ST, SAN MARCOS, TX 78666",Unnamed Complex,,6,
"210 EDWARD GARY ST, SAN MARCOS, TX 78666",THE LOCAL,,,
"213 RAMSAY ST, SAN MARCOS, TX 78666",CHERRY HILL APTS,1981,,
"214 SAN ANTONIO, SAN MARCOS, TX 78666",LINDSEY LOFTS APTS,2009,14,
"215 RAMSAY ST, SAN MARCOS, TX 78666",CHERRY HILL APTS,1981,,
"217 RAMSAY ST, SAN MARCOS, TX 78666",CHERRY HILL APTS,1981,,
"222 RAMSAY ST, SAN MARCOS, TX 78666",ICONIC VILLAGE,1970,64,
"225 RAMSEY ST, SAN MARCOS, TX 78666",LOGAN RIDGE APTS,2010,42,
"228 S GUADALUPE ST, SAN MARCOS, TX 78666",THE VIEW ON THE SQUARE,2019,136,
"250 STAGECOACH TRL, SAN MARCOS, TX 78666",SAVANNAH CLUB APTS,2003,180,
"2913 HUNTER RD, SAN MARCOS, TX 78666",SIENNA POINTE APTS,2013,228,
"2917 HUNTER RD, SAN MARCOS, TX 78666",TWINLAKE APTS,,,
"300 STAGECOACH TRL, SAN MARCOS, TX 78666",STONE BROOK SENIORS COMMUNITY,2000,206,
"301 TELLURIDE DR, SAN MARCOS, TX 78666","THE VILLAGE ON TELLURIDE, PHASE 2",2012,172,
"3085 SH 123, SAN MARCOS, TX 78666",MISSION TRAIL AT EL CAMINO REAL,2019,352,
"311 CRADDOCK AVE, SAN MARCOS, TX 78666",LADY BIRD LANE APARTMENTS,2018,7,
"315 A-H MILL ST, SAN MARCOS, TX 78666",VILLAGE SQUARE APTS,,,
"317 CRADDOCK AVE, SAN MARCOS, TX 78666",EXECUTIVE TOWNHOUSES,1973,65,
"319 NORTH ST, SAN MARCOS, TX 78666",NORTH ST APTS,,8,
"327 WOOD ST, SAN MARCOS, TX 78666",COMANCHE APTS,,18,
"345 CHAMPIONS BLVD, SAN MARCOS, TX 78666",CHAMPIONS CROSSING,2001,156,
"350 NORTH ST, SAN MARCOS, TX 78666",SANCTUARY LOFTS,2006,201,
"400 LINDA DR, SAN MARCOS, TX 78666",SUNDANCE APTS,1972,28,
"401 FREDERICKSBURG ST, SAN MARCOS, TX 78666",VISTAS SAN MARCOS,2013,255,
"407 S GUADALUPE ST, SAN MARCOS, TX 78666",THE PARLOR,2019,264,
"410 NORTH ST, SAN MARCOS, TX 78666",POLO CLUB,1974,20,
"417 COMANCHE ST, SAN MARCOS, TX 78666",POINTE SAN MARCOS,2018,124,
"420 NORTH ST, SAN MARCOS, TX 78666",THE ELMS APTS,,,
"435 COMANCHE ST, SAN MARCOS, TX 78666",LINDSEY OAKS APTS,1968,,
"512 CRADDOCK AVE, SAN MARCOS, TX 78666",THE RETREAT,2012,187,
"518 LINDA DR, SAN MARCOS, TX 78666",THE NEST APTS,1970,104,
"520 LINDA DR, SAN MARCOS, TX 78666",TOWNWOOD APTS,1983,,
"527 SAN ANTONIO ST, SAN MARCOS, TX 78666",POSEY HOUSE,,,
"530 HOPKINS ST, SAN MARCOS, TX 78666",FIVE PLEX,,,
"538 HOPKINS ST, SAN MARCOS, TX 78666",THE GARDENS,,,
"540 HOPKINS ST, SAN MARCOS, TX 78666",THE GARDENS,1988,,
"600 COMANCHE ST, SAN MARCOS, TX 78666",BIMMS SQUARE APTS,,,
"600 LEAH AVE, SAN MARCOS, TX 78666",THE WELLINGTON,1999,78,
"601 RIVER RD, SAN MARCOS, TX 78666",RIVERVIEW APTS,1971,54,
"605 HUTCHISON ST, SAN MARCOS, TX 78666",APARTMENTS 605,,22,
"613 SAN ANTONIO ST, SAN MARCOS, TX 78666",HERNDON HOUSE APTS,1972,24,
"616 MLK DR, SAN MARCOS, TX 78666",Unnamed Complex,1995,,
"650 RIVER RD, SAN MARCOS, TX 78666",THE WOODS APTS,2015,291,
"705 RIVER RD, SAN MARCOS, TX 78666",CURVE AT RIVER ROAD,1985,115,
"734 VALLEY ST, SAN MARCOS, TX 78666",ARMSTEAD ARMS APTS,,,
"736 CENTRE ST, SAN MARCOS, TX 78666",CENTRE STREET VILLAS,,5,
"755 RIVER RD, SAN MARCOS, TX 78666",RIVER ROAD APARTMENTS,2001,12,
"765 RIVER RD, SAN MARCOS, TX 78666",MYSTIC RIVER APTS,2001,30,
"800 LBJ DR, SAN MARCOS, TX 78666",TREEHOUSE APTS,1973,138,
"810 LBJ DR, SAN MARCOS, TX 78666",ICONIC VILLAGE APTS,,138,
"817 CHESTNUT ST, SAN MARCOS, TX 78666",ELLA LOFTS,2014,75,
"900 PEQUES, SAN MARCOS, TX 78666",TIMBERS APTS,,155,
"906 LBJ DR, SAN MARCOS, TX 78666",TWIN SEVILLE,1979,,
"LOOP 82, SAN MARCOS, TX 78666",BOBCAT VILLAGE,,135,
"MILL ST, SAN MARCOS, TX 78666",BOBCAT VILLAGE,,,
"1653 MILL ST, SAN MARCOS, TX 78666",WILDWOOD OF SAN MARCOS,2013,132,
"165 S GUADALUPE, SAN MARCOS TX 78666",165 LOFTS,2015,10,
"524 S LBJ, SAN MARCOS TX 78666",524 CONDOS,2017,5,
"401 S GUADALUPE, SAN MARCOS TX 78666",CHEATHAM STREET FLATS,2020,120, 
"800 LEAH, SAN MARCOS TX 78666",INVESTOCOR,2021,92, 
"490 BARNES, SAN MARCOS TX 78666",STONECREEK GRANDE/SAN MARCOS GRANDE,2021,267, 